,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior month),Status
264,N/A,N/A,mmm,N/A,N/A,N/A,N/A,N/A,171.27,N/A,N/A,N/A,15.65,21.19,9.55,0.92,54.96,576820000.0,N/A,N/A,N/A,N/A,N/A,31710000000.0,15400000000.0,0.92,N/A,8.53,10.70,4.50,4570000000.0,7.92,20460000000.0,1.90,20.60,7940000000.0,0.92,0.19,66.53,N/A,2.83,1.32,7070000.0,N/A
265,N/A,N/A,mnst,N/A,N/A,N/A,N/A,N/A,0.47,N/A,N/A,N/A,26.99,35.03,17.86,1.11,8.31,527919999.99999994,N/A,N/A,N/A,N/A,N/A,4420000000.0,2520000000.0,1.11,N/A,2.22,16.30,9.90,1670000000.0,3.17,21730000.0,3.65,8.77,1240000000.0,1.11,29.14,65.79,N/A,3.17,1.55,7720000.0,N/A
266,N/A,N/A,mo,N/A,N/A,N/A,N/A,N/A,894.38,N/A,N/A,N/A,3.56,56.27,14.54,0.57,11.07,1860000000.0,N/A,N/A,N/A,N/A,N/A,20590000000.0,12710000000.0,0.57,N/A,0.38,4120000000.0,4.90,4120000000.0,2.22,29260000000.0,0.77,1.69,8410000000.0,0.57,0.11,63.10,N/A,1.46,0.78,11250000.0,N/A
267,N/A,N/A,mos,N/A,N/A,N/A,N/A,N/A,57.19,N/A,N/A,N/A,13.04,2.40,0.63,1.81,21.91,379090000.0,N/A,N/A,N/A,N/A,N/A,8300000000.000001,897300000.0,1.81,N/A,2.86,2.43,13.50,2.43,2.43,4980000000.0,1.31,22.51,1620000000.0,1.81,9.59,77.43,N/A,1.54,2.75,4970000.0,N/A
268,N/A,N/A,mpc,N/A,N/A,N/A,N/A,N/A,109.86,N/A,N/A,N/A,10.42,0.37,0.23,2.22,143.03,650650000.0,N/A,N/A,N/A,N/A,N/A,92760000000.0,13870000000.0,2.22,N/A,14.91,0.95,36.80,0.95,0.95,33520000000.000004,1.84,34.49,3500000000.0,2.22,0.56,75.97,N/A,4.61,5.00,30650000.0,N/A
269,N/A,N/A,mrk,N/A,N/A,N/A,N/A,N/A,98.19,N/A,N/A,N/A,24.33,32.95,11.26,0.44,18.69,2530000000.0,N/A,N/A,N/A,N/A,N/A,47350000000.0,33680000000.0,0.44,N/A,4.53,54.70,1.20,7360000000.0,2.91,28740000000.0,1.30,11.54,11040000000.0,0.44,0.08,75.98,N/A,1.59,0.54,13460000.0,N/A
270,N/A,N/A,mro,N/A,N/A,N/A,N/A,N/A,55.70,N/A,N/A,N/A,32.08,17.10,1.93,3.37,4.45,789390000.0,N/A,N/A,N/A,N/A,N/A,3530000000.0,3810000000.0,3.37,N/A,1.44,1120000000.0,39.10,1120000000.0,1.42,6070000000.0,1.23,13.79,1760000000.0,3.37,0.26,70.28,N/A,1.47,7.99,52760000.0,N/A
271,N/A,N/A,ms,N/A,N/A,N/A,N/A,N/A,338.20,N/A,N/A,N/A,21.69,34.79,1.08,1.58,29.25,1810000000.0,N/A,N/A,N/A,N/A,N/A,45410000000.0,36730000000.0,1.58,N/A,5.92,25.00,16.20,578410000000.0,319.71,303760000000.0,1.96,50.67,N/A,1.58,21.20,58.63,N/A,2.54,1.94,23110000.0,N/A
272,N/A,N/A,msft,N/A,N/A,N/A,N/A,N/A,67.44,N/A,N/A,N/A,32.28,38.17,12.10,0.83,19.38,7560000000.0,N/A,N/A,N/A,N/A,N/A,147110000000.0,96940000000.0,0.83,N/A,6.20,30.10,12.40,137950000000.0,18.25,83220000000.0,2.53,16.31,66190000000.0,0.83,0.06,71.84,N/A,1.52,0.53,34070000.0,N/A
273,N/A,N/A,msi,N/A,N/A,N/A,N/A,N/A,1.20,N/A,N/A,N/A,10.38,21.06,9.54,0.74,44.17,169520000.0,N/A,N/A,N/A,N/A,N/A,7520000000.0,3950000000.0,0.74,N/A,4.47,23.20,6.30,1010000000.0,5.94,5900000000.0,1.20,4.46,1700000000.0,0.74,0.43,90.38,N/A,2.41,1.81,2390000.0,N/A
